H2-IAb,H2-IAd,HLA-DPB1_0201,HLA-DQB1_0302,HLA-DQB1_0602 ,HLA-DRB1_0101,HLA-DRB1_0301,HLA-DRB1_0401,HLA-DRB1_0404,HLA-DRB1_0405,HLA-DRB1_0701,HLA-DRB1_0802,HLA-DRB1_0901,HLA-DRB1_1001,HLA-DRB1_1101,HLA-DRB1_1301,HLA-DRB1_1501,HLA-DRB3_0101,HLA-DRB3_0202,HLA-DRB4_0101
0.499258,0.396466,0.394874,0.236647,0.419136,0.618763,0.317655,0.555456,0.619648,0.579352,0.589488,0.476258,0.645578,0.610645,0.610009,0.506652,0.561049,0.361465,0.675696,0.418203
0.288941,0.514835,0.438666,0.329351,0.604113,0.618763,0.296859,0.59391,0.609856,0.380055,0.626823,0.445034,0.523736,0.590037,0.693191,0.705425,0.532263,0.468424,0.467289,0.584412
0.328819,0.56754,0.57008,0.321225,0.575942,0.618763,0.334627,0.537232,0.506527,0.547265,0.586275,0.325941,0.505814,0.703822,0.464521,0.36683,0.274421,0.573754,0.606069,0.499745
0.577634,0.707967,0.502916,0.256276,0.559457,0.652528,0.329326,0.451642,0.563876,0.491597,0.63523,0.586992,0.647497,0.605751,0.647685,0.321824,0.633021,0.440421,0.56529,0.594599
0.606753,0.710805,0.331728,0.389507,0.60943,0.720762,0.291412,0.517639,0.607811,0.385997,0.710689,0.575866,0.766735,0.596991,0.313734,0.403953,0.703203,0.361057,0.436176,0.535384
0.507678,0.651273,0.360259,0.223102,0.373359,0.466021,0.308963,0.626934,0.544374,0.481777,0.749569,0.407396,0.645087,0.71494,0.659839,0.387263,0.700836,0.711218,0.646407,0.444012
0.581197,0.645692,0.590734,0.303057,0.31048,0.183937,0.274632,0.528591,0.577204,0.541705,0.60182,0.325398,0.566308,0.738237,0.667062,0.258057,0.689417,0.58079,0.517611,0.550391
0.630704,0.702001,0.486988,0.255088,0.354835,0.397243,0.233013,0.511499,0.501982,0.432778,0.670616,0.21186,0.642847,0.712202,0.601537,0.359778,0.435927,0.49364,0.584213,0.594733
0.394849,0.69218,0.512554,0.307453,0.504191,0.453723,0.263551,0.227014,0.590252,0.49135,0.612261,0.367413,0.581386,0.559202,0.533678,0.258057,0.551198,0.658059,0.337962,0.484254
0.508852,0.70514,0.411403,0.347679,0.515422,0.433975,0.202138,0.539479,0.598687,0.498366,0.844364,0.311785,0.687652,0.604115,0.544175,0.607116,0.622183,0.470127,0.424681,0.638611
0.360597,0.704893,0.670851,0.305824,0.451235,0.323192,0.216186,0.434175,0.649568,0.465049,0.42891,0.319705,0.562356,0.509192,0.732592,0.384168,0.577695,0.427818,0.53479,0.530188
0.356667,0.704573,0.593227,0.398672,0.460016,0.618763,0.173864,0.744036,0.652343,0.48728,0.549734,0.315621,0.45784,0.53081,0.458888,0.274181,0.580841,0.359525,0.424368,0.51411
0.481929,0.659784,0.512085,0.363739,0.401498,0.295255,0.313703,0.671121,0.449449,0.540614,0.546341,0.482009,0.569293,0.629565,0.628946,0.302306,0.784164,0.509804,0.517419,0.473122
0.340281,0.723327,0.218867,0.374825,0.479852,0.357701,0.220387,0.671121,0.659149,0.306589,0.521947,0.4297,0.67194,0.626042,0.391859,0.38914,0.790617,0.342045,0.603622,0.704955
0.309549,0.490508,0.066918,0.303089,0.451864,0.531912,0.346826,0.469975,0.423108,0.408894,0.556731,0.447351,0.748003,0.654305,0.567071,0.57235,0.753386,0.485535,0.650115,0.519089
0.444954,0.647403,0.242701,0.332753,0.464611,0.650121,0.258013,0.649203,0.476968,0.518447,0.631264,0.398269,0.735774,0.749504,0.397166,0.500328,0.714989,0.476298,0.652076,0.627192
0.203361,0.569413,0.487207,0.328523,0.419136,0.537325,0.288786,0.553468,0.496579,0.528363,0.679382,0.449946,0.399281,0.619798,0.582452,0.428016,0.766694,0.297169,0.642101,0.472681
0.509868,0.402004,0.546218,0.320011,0.559457,0.615339,0.496555,0.595645,0.488921,0.487718,0.666222,0.392489,0.448433,0.685977,0.527351,0.595331,0.782757,0.697414,0.611218,0.566046
0.483865,0.541316,0.700078,0.305721,0.466005,0.547554,0.500164,0.559119,0.566049,0.520932,0.71795,0.448823,0.470806,0.672459,0.667164,0.605265,0.72879,0.421259,0.489077,0.537955
0.368119,0.521263,0.585373,0.343234,0.414283,0.297804,0.202902,0.532524,0.603248,0.487657,0.368252,0.51589,0.656344,0.646184,0.642756,0.269145,0.792007,0.585181,0.584213,0.427804
0.391847,0.505013,0.394874,0.357608,0.438469,0.537605,0.409756,0.638854,0.5332,0.515415,0.381325,0.452567,0.554926,0.754512,0.646673,0.493596,0.744698,0.482435,0.56529,0.454546
0.608882,0.329879,0.555306,0.31632,0.414171,0.618763,0.45331,0.624196,0.591719,0.446107,0.429944,0.570308,0.647859,0.518438,0.445644,0.419538,0.781381,0.494791,0.53479,0.47636
0.491922,0.394184,0.649813,0.306529,0.493138,0.618763,0.2622,0.529462,0.605924,0.532165,0.413851,0.532945,0.545653,0.575041,0.5432,0.364237,0.769671,0.578044,0.503478,0.47704
0.233957,0.208003,0.692833,0.327294,0.579476,0.618763,0.345713,0.696566,0.626008,0.542504,0.628128,0.448629,0.539831,0.661593,0.469924,0.553993,0.777646,0.673299,0.662487,0.494762
0.361587,0.320255,0.493607,0.336449,0.565806,0.618763,0.470246,0.523267,0.517857,0.523902,0.535582,0.486796,0.759074,0.557647,0.685428,0.437388,0.763261,0.38421,0.517419,0.475715
0.605575,0.446501,0.569117,0.281533,0.426758,0.367433,0.396136,0.634908,0.591855,0.458153,0.595875,0.480152,0.788314,0.50764,0.485913,0.354252,0.721978,0.886466,0.517611,0.404512
0.450991,0.543316,0.5399,0.299866,0.522301,0.618763,0.552344,0.538861,0.61529,0.663577,0.479435,0.397373,0.682944,0.778827,0.546797,0.474555,0.790051,0.364738,0.467289,0.471298
0.514494,0.566158,0.678317,0.310585,0.60943,0.618763,0.556484,0.503047,0.503217,0.566198,0.353148,0.488183,0.659154,0.704037,0.599772,0.440447,0.740412,0.524133,0.675696,0.679024
0.473961,0.346303,0.711002,0.265181,0.668079,0.618763,0.298885,0.538744,0.440758,0.619876,0.779224,0.407867,0.382362,0.532856,0.492829,0.434059,0.747607,0.370893,0.675634,0.63611
0.508573,0.425002,0.438666,0.27219,0.373359,0.618763,0.50042,0.555317,0.556499,0.595557,0.531569,0.581924,0.538967,0.725219,0.582252,0.449628,0.734984,0.406832,0.424681,0.532627
0.446682,0.368723,0.487752,0.290993,0.58864,0.618763,0.542662,0.696322,0.476007,0.534975,0.438926,0.48527,0.544345,0.526713,0.688967,0.506083,0.763498,0.607948,0.476302,0.475081
0.453754,0.390578,0.518218,0.340232,0.575942,0.618763,0.292604,0.635717,0.492831,0.606215,0.45189,0.621145,0.536173,0.848045,0.492562,0.532295,0.235202,0.641473,0.458393,0.616624
0.452345,0.528022,0.462397,0.278145,0.604113,0.791802,0.283135,0.707406,0.461844,0.585627,0.521401,0.519878,0.61962,0.72431,0.46248,0.537903,0.724584,0.352512,0.436176,0.551738
0.440662,0.492186,0.470609,0.323433,0.406625,0.684551,0.388304,0.594626,0.558307,0.64521,0.498985,0.527063,0.580135,0.84371,0.647872,0.434415,0.548816,0.318771,0.68435,0.505188
0.497354,0.364088,0.502691,0.359271,0.642324,0.658695,0.40663,0.674354,0.524897,0.500323,0.561625,0.52522,0.651389,0.572523,0.537051,0.663857,0.548816,0.469223,0.773505,0.561098
0.658558,0.398003,0.432917,0.393472,0.625658,0.591572,0.354471,0.66938,0.467635,0.591529,0.525437,0.578553,0.532952,0.786831,0.408568,0.533597,0.622719,0.467494,0.576508,0.570441
0.194014,0.37373,0.519818,0.284645,0.651895,0.642907,0.437709,0.625767,0.578503,0.493215,0.447938,0.624877,0.529454,0.567969,0.683125,0.525389,0.588177,0.730985,0.505012,0.583427
0.181235,0.330254,0.45588,0.391468,0.553714,0.658695,0.397246,0.485355,0.665843,0.64332,0.596495,0.538438,0.746633,0.851895,0.590146,0.490486,0.73798,0.646814,0.568515,0.633083
0.277916,0.459983,0.47738,0.347986,0.328583,0.675562,0.351405,0.609968,0.638143,0.600074,0.54656,0.50716,0.499427,0.655677,0.514567,0.540528,0.606518,0.347157,0.603622,0.560999
0.509807,0.354148,0.623008,0.348397,0.471277,0.658695,0.267304,0.525606,0.651049,0.632357,0.539525,0.611653,0.589114,0.705,0.543259,0.45879,0.42949,0.641527,0.401509,0.399409
0.536619,0.32484,0.566118,0.35491,0.703674,0.658695,0.379242,0.328494,0.638261,0.422455,0.417177,0.601341,0.533496,0.597509,0.432362,0.564921,0.841504,0.542652,0.646407,0.613185
0.169881,0.419165,0.426861,0.370865,0.436142,0.573751,0.296864,0.471126,0.426407,0.483951,0.435736,0.614315,0.475312,0.56941,0.430084,0.564231,0.681069,0.572696,0.337962,0.553938
0.131732,0.319112,0.372862,0.371546,0.552384,0.658695,0.469506,0.488354,0.632485,0.403066,0.587555,0.367719,0.548026,0.738237,0.624259,0.543008,0.670718,0.709264,0.830646,0.634328
0.157208,0.396617,0.297008,0.3155,0.451994,0.721793,0.463404,0.452004,0.591946,0.469029,0.497513,0.434727,0.576172,0.80152,0.712041,0.555146,0.586762,0.342045,0.424368,0.513843
0.130765,0.396617,,0.25542,0.743564,0.658695,0.635571,0.418429,0.620947,0.382077,0.455892,0.452944,0.51694,0.816562,0.481436,0.749953,0.711976,0.494791,0.583309,0.603871
0.170722,0.360289,,0.429079,0.45599,0.75107,0.569545,0.413757,0.542013,0.620244,0.657875,0.418172,0.563327,0.755292,0.368322,0.557641,0.591691,0.578044,0.493346,0.566728
0.245787,0.642001,,0.247872,0.708483,0.735109,0.400232,0.571576,0.62342,0.525067,0.575751,0.574793,0.492971,0.594998,0.503516,0.603117,0.668786,0.585181,0.691198,0.572196
0.152791,0.364088,,0.352649,0.493582,0.550926,0.51643,0.592966,0.57206,0.50804,0.644632,0.435337,0.486901,0.849035,0.526949,0.596535,0.397343,0.886466,0.53479,0.526412
0.312454,0.37373,,0.350414,0.536725,0.661265,0.489377,0.43077,0.727941,0.529227,0.589111,0.652383,0.494973,0.744882,0.653179,0.35461,0.677043,0.297169,0.204708,0.665761
0.186775,0.330254,,0.354358,0.533964,0.709322,0.406376,0.451276,0.541214,0.412927,0.625043,0.605778,0.483118,0.596826,0.470655,0.489827,0.575383,0.482435,0.516155,0.447379
0.125503,0.459983,,0.270171,0.460824,0.750866,0.589842,0.527305,0.563476,0.537131,0.408213,0.496326,0.496003,0.601169,0.680169,0.377826,0.624402,0.38421,0.457192,0.468595
0.124788,0.354148,,0.282909,0.576012,0.70954,0.399841,0.380914,0.549562,0.574236,0.523763,0.527686,0.444757,0.8165,0.517228,0.65421,0.660702,0.421259,0.456396,0.608375
0.164543,0.413776,,0.385036,0.457782,0.686522,0.588278,0.547506,0.515661,0.639556,0.094485,0.647059,0.767354,0.718611,0.523101,0.269145,0.587203,0.673299,0.600474,0.477607
0.181937,0.351655,,0.23955,,0.812345,0.47015,0.420624,0.556319,0.418078,0.248412,0.442169,0.661703,0.571658,0.520563,0.493596,0.538029,0.505724,0.236636,0.592252
0.174224,,,0.359793,,0.428246,0.680009,0.444846,0.575933,0.467093,0.218107,0.369743,0.640775,0.849465,0.488428,0.605265,0.528363,0.467907,0.653948,0.506928
0.210231,,,0.34801,,0.708776,0.406375,0.567147,0.614261,0.600251,0.192187,0.545553,0.62307,0.80748,0.590182,0.595331,0.454842,0.156325,0.522237,0.63569
0.168001,,,0.317525,,0.649401,0.42981,0.524223,0.44766,0.419647,0.285123,0.426556,0.633814,0.3966,0.518863,0.481964,0.637067,0.486078,0.67086,0.544888
0.178802,,,0.229538,,0.740415,0.553765,0.650199,0.559979,0.426711,0.483607,0.380068,0.598412,0.789292,0.443586,0.434582,0.552801,0.470925,0.576657,0.569087
0.111976,,,0.249446,,0.673751,0.409727,0.534034,0.724299,0.519483,0.468259,0.402374,0.617279,0.710588,0.680468,0.47739,0.413275,0.470925,0.334307,0.646889
0.147822,,,0.338581,,0.723124,0.649628,0.564272,0.641879,0.736855,0.082783,0.537906,0.573092,0.605957,0.501705,0.532295,0.619765,0.317009,0.587567,0.653676
0.172666,,,0.353855,,0.78153,0.440253,0.29745,0.571331,0.532537,0.200963,0.413653,0.61534,0.659454,0.592802,0.648767,0.458651,0.59554,0.516327,0.695623
0.202381,,,0.257177,,0.621262,0.437887,0.355631,0.521554,0.553141,0.212847,0.449916,0.594769,0.604742,0.416622,0.608364,0.560129,0.47582,0.476377,0.528049
0.133633,,,0.385369,,0.670454,0.457656,0.496246,0.557266,0.566893,0.432008,0.463045,0.507734,0.58615,0.535084,,0.345937,0.440911,0.470316,0.577676
0.184125,,,0.324345,,0.711552,0.459367,0.361811,0.456982,0.506368,0.439816,0.422337,0.678238,0.674909,0.734888,,0.391108,0.597209,0.74895,0.538101
0.136188,,,0.29627,,0.497544,0.645448,0.330082,0.640819,0.570056,0.39511,0.299988,0.528557,0.589078,0.536603,,0.426242,0.578509,0.455636,0.55618
0.173608,,,0.30365,,0.786912,0.373829,0.515498,0.608644,0.628684,0.503667,0.448172,0.516142,0.553728,0.621489,,0.475987,0.393299,0.483476,0.581859
0.200351,,,0.317723,,0.723637,0.545355,0.356595,0.579693,0.499624,0.536306,0.577949,0.620957,0.777714,0.533709,,0.461481,0.57964,0.283804,0.565578
0.195844,,,0.314538,,0.903748,0.424501,0.430098,0.581112,0.585225,0.386466,0.519472,0.640204,0.605406,0.688928,,0.380397,0.540385,0.515695,0.623268
0.199794,,,0.299797,,0.716528,0.551066,0.546597,0.622294,0.492192,0.35726,0.501049,0.661164,0.615804,0.614078,,0.744945,0.449458,0.71931,0.592515
0.200721,,,0.347986,,0.622533,0.388253,0.541925,0.633969,0.443081,0.364126,0.387412,0.660494,0.705658,0.33192,,0.747557,0.614137,0.413418,0.676154
0.188067,,,0.328523,,0.679103,0.377898,0.515835,0.54879,0.511526,0.328349,0.471251,0.46646,0.838993,0.605268,,0.261302,0.582448,0.560153,0.595083
0.18509,,,0.327294,,0.536335,0.370653,0.32799,0.550416,0.521437,0.551715,0.532851,0.659353,0.709036,0.610462,,0.482958,0.464272,0.468458,0.695781
0.184216,,,0.35491,,0.786912,0.398092,0.55361,0.627556,0.603707,0.558917,0.499558,0.495535,0.544978,0.380248,,0.474429,0.309862,0.631871,0.637304
0.372836,,,0.370865,,0.723637,0.416241,0.484797,0.394724,0.429031,0.571944,0.447433,0.556309,0.477894,0.752624,,0.498043,0.063206,0.224259,0.565977
0.463258,,,0.290993,,0.903748,0.686751,0.545732,0.499616,0.591182,0.12098,0.39524,0.523543,0.63033,0.562054,,0.48902,0.377311,0.31571,0.643098
0.113995,,,0.391468,,0.5918,0.497896,0.503883,0.603776,0.554044,0.287808,0.60413,0.694838,0.448366,0.644598,,0.339766,0.544601,0.211337,0.564283
0.612544,,,0.265181,,0.622533,0.60507,0.531658,0.68918,0.662781,0.466334,0.523021,0.636126,0.514966,0.630486,,0.443522,0.626434,0.66079,0.570839
0.578605,,,0.299866,,0.679103,0.384861,0.484198,0.672215,0.281729,0.483322,0.543925,0.58556,0.659701,0.614951,,0.550448,0.428078,0.474255,0.563788
0.47563,,,0.357608,,0.536335,0.34464,0.488438,0.660785,0.519054,0.611803,0.514714,0.602191,0.70465,0.469432,,0.51286,0.498962,0.629453,0.586647
0.595881,,,0.323433,,0.747991,0.321115,0.5467,0.661075,0.497867,0.481412,0.526407,0.696494,0.630191,0.557753,,0.651801,0.647642,0.678697,0.585184
0.486838,,,0.310585,,0.655712,0.595116,0.432774,0.538862,0.428977,0.783576,0.54045,0.561717,0.732837,0.610931,,0.524339,0.505559,0.612282,0.502623
0.483221,,,0.31632,,0.585209,0.433289,0.632725,0.582503,0.661674,0.686449,0.527155,0.719019,0.645532,0.578529,,0.431239,0.400119,0.178778,0.498814
0.314926,,,0.343234,,0.792476,0.551369,0.488642,0.646404,0.638888,0.666834,0.406367,0.640467,0.622402,0.548771,,0.75784,0.400119,0.612798,0.546315
0.237475,,,0.332753,,0.738182,0.437911,0.589764,0.647445,0.705452,0.753419,0.539225,0.602708,0.613925,0.56219,,0.630828,0.368057,0.567427,0.528107
0.64268,,,0.320011,,0.610162,0.410314,0.576065,0.597399,0.500644,0.702743,0.443836,0.528804,0.754552,0.504741,,0.721951,0.670967,0.461137,0.655978
0.665436,,,0.336449,,0.792482,0.384802,0.479308,0.802626,0.528197,0.738529,0.505069,0.499163,0.595296,0.466498,,0.773704,0.581494,0.591004,0.604657
0.674262,,,0.27219,,0.634899,0.548938,0.500564,0.476774,0.643813,0.765805,0.455234,0.547246,0.603734,0.75474,,0.559381,0.399065,0.567427,0.64005
0.663862,,,0.340232,,0.89367,0.610619,0.44609,0.426473,0.478487,0.532673,0.579534,0.654375,0.579965,0.550434,,0.379874,0.190828,0.56913,0.553348
0.638344,,,0.359271,,0.551819,0.79039,0.383373,0.415342,0.589019,0.654241,0.666862,0.585952,0.674137,0.634438,,0.510462,0.308432,0.407773,0.540907
0.484697,,,0.371546,,0.708223,0.266928,0.390868,0.560259,0.552175,0.48454,0.467785,0.731012,0.849035,0.592139,,0.773704,0.722367,,0.589534
0.631695,,,0.393472,,0.859657,0.393748,0.546882,0.566692,0.3233,0.643737,0.533051,0.639399,0.682375,0.617588,,0.430084,0.72098,,0.612784
0.658853,,,0.3155,,0.709816,0.60262,0.474143,0.614756,0.520048,0.65734,0.483849,0.736917,0.851895,0.525821,,0.442572,0.561505,,0.686389
0.667719,,,0.281533,,0.773005,0.34402,0.534207,0.640087,0.419097,0.655002,0.530974,0.612781,0.849465,0.363279,,0.711393,0.237835,,0.512981
0.662102,,,0.348397,,0.726084,0.386719,0.546597,0.624526,0.512263,0.595564,0.473881,0.582387,0.754381,0.609272,,0.550719,0.365405,,0.590398
0.644139,,,0.284645,,0.714491,0.574862,0.669243,0.544557,0.471915,0.62788,0.518221,0.520162,0.672459,0.502516,,0.471407,0.652895,,0.679421
0.487965,,,0.305721,,0.841635,0.45686,0.65759,0.54132,0.473852,0.59207,0.490748,0.62384,0.634566,0.694832,,0.59576,0.680036,,0.702989
0.596559,,,0.278145,,0.662931,0.425406,0.39942,0.587486,0.517381,0.727218,0.565206,0.575841,0.594998,0.583291,,0.693527,0.709499,,0.581326
0.553799,,,0.306529,,0.546874,0.492345,0.371016,0.535303,0.530665,0.574718,0.602919,0.630504,0.66038,0.604167,,0.543172,0.745485,,0.692927
0.583256,,,0.402456,,0.602118,0.519639,0.382546,0.692694,0.512719,0.774726,0.490964,0.61793,0.789292,0.615527,,0.530315,0.2924,,0.576406
0.668617,,,0.350615,,0.746073,0.462348,0.366751,0.631519,0.530922,0.534169,0.564871,0.421708,0.659454,0.408961,,0.518088,0.542493,,0.626111
0.452258,,,0.389792,,0.617261,0.459642,0.159802,0.557743,0.665569,0.416905,0.56036,0.642181,0.601169,0.569036,,0.401126,0.574171,,0.588364
0.481797,,,0.356684,,0.780725,0.6743,0.219958,0.688736,0.558045,0.571043,0.566181,0.585398,0.80748,0.603328,,0.50932,0.364255,,0.623842
0.412253,,,0.249256,,0.739119,0.564416,0.251364,0.489585,0.503355,0.691685,0.506565,0.532905,0.80152,0.603395,,0.49693,0.730774,,0.544493
0.512475,,,0.239842,,0.774442,0.673515,0.378642,0.77005,0.485772,0.561411,0.523837,0.586506,0.72431,0.544871,,0.490169,0.726145,,0.521557
0.311174,,,,,0.682646,0.491697,0.106149,0.593222,0.556304,0.550998,0.463099,0.6173,0.557647,0.621385,,0.521827,0.684791,,0.662692
0.533745,,,,,0.666875,0.669638,0.379983,0.536407,0.566668,0.631321,0.467989,0.570918,0.8165,0.623014,,0.554563,0.372142,,0.5501
,,,,,0.705181,0.483799,0.418884,0.551997,0.545479,0.481775,0.588487,0.589897,0.712202,0.702767,,0.557734,0.643814,,0.664667
,,,,,0.65125,0.378473,0.392906,0.533077,0.569622,0.539452,0.612042,0.517472,0.848045,0.406877,,0.201507,0.592678,,0.572332
,,,,,0.480074,0.239852,0.303215,0.581213,0.461755,0.511192,0.504151,0.513166,0.575041,0.70132,,0.550361,0.429974,,0.47067
,,,,,0.445617,0.239813,0.13585,0.459021,0.315586,0.667774,0.584839,0.683907,0.646184,0.596465,,0.595335,0.721974,,0.424805
,,,,,0.601527,0.354278,0.177091,0.330621,0.508192,0.487498,0.663821,0.650103,0.605751,0.614886,,0.61081,0.55403,,0.700398
,,,,,0.572943,0.587306,0.174832,0.501766,0.482126,0.427256,0.475417,0.490141,0.596826,0.601564,,0.630816,0.297437,,0.589089
,,,,,0.54983,0.361549,0.370397,0.650161,0.518329,0.427564,0.66368,0.405782,0.630341,0.611055,,0.618528,0.359202,,0.499372
,,,,,0.624652,0.455095,0.541999,0.657853,0.535038,0.201308,0.418264,0.814608,0.3966,0.61552,,0.493726,0.388485,,0.349818
,,,,,0.552113,0.497392,0.356827,0.512491,0.49425,0.513676,0.426636,0.694521,0.654305,0.706729,,0.52245,0.592678,,0.461152
,,,,,0.520782,0.379878,0.264239,0.504653,0.635073,0.770851,0.478239,0.666257,0.718611,0.429125,,0.586137,0.568614,,0.599199
,,,,,0.47884,0.272146,0.609855,0.613615,0.602976,0.805844,0.648847,0.572436,0.559202,0.777752,,0.51036,0.324735,,0.428708
